column_id,text,label
address_col_1,北京市朝阳区建国路88号,ADDRESS
address_col_1,广东省深圳市南山区科技园科苑路15号,ADDRESS
address_col_1,上海市浦东新区世纪大道100号,ADDRESS
address_col_1,杭州市西湖区文三路90号3栋,ADDRESS
address_col_1,成都市高新区天府大道北段28号,ADDRESS
address_col_1,北京市朝阳区建国路88号,ADDRESS
address_col_1,上海市浦东新区陆家嘴100号,ADDRESS
address_col_1,110105199001011234,ADDRESS
address_col_1,粤B12345,ADDRESS
address_col_1,China,ADDRESS
address_col_2,广州市天河区体育西路123号,ADDRESS
address_col_2,重庆市渝北区龙溪街道金山大道8号,ADDRESS
address_col_2,南京市鼓楼区中山北路66号,ADDRESS
address_col_2,天津市和平区南京路189号,ADDRESS
address_col_2,武汉市洪山区珞瑜路726号,ADDRESS
address_col_2,000001,ADDRESS
address_col_2,192.168.1.1,ADDRESS
address_col_2,abcdef123,ADDRESS
address_col_2,20230101,ADDRESS
address_col_2,JP,ADDRESS
address_col_3,深圳市福田区深南大道600号,ADDRESS
address_col_3,西安市雁塔区科技路88号A座,ADDRESS
address_col_3,青岛市市南区香港中路12号,ADDRESS
address_col_3,长沙市岳麓区麓山南路45号,ADDRESS
address_col_3,合肥市包河区徽州大道200号,ADDRESS
address_col_3,110105123456789012,ADDRESS
address_col_3,600000,ADDRESS
address_col_3,2023.05.01,ADDRESS
address_col_3,粤A88888,ADDRESS
address_col_3,USA,ADDRESS
address_col_4,苏州市工业园区星湖街328号,ADDRESS
address_col_4,郑州市金水区农业路99号,ADDRESS
address_col_4,南昌市红谷滩新区丰和中大道,ADDRESS
address_col_4,福州市鼓楼区五四路158号,ADDRESS
address_col_4,贵阳市观山湖区林城西路8号,ADDRESS
address_col_4,abcdef,ADDRESS
address_col_4,20221212,ADDRESS
address_col_4,000002,ADDRESS
address_col_4,110105199508073210,ADDRESS
address_col_4,8.8.8.8,ADDRESS
address_col_5,昆明市盘龙区北京路350号,ADDRESS
address_col_5,石家庄市长安区建设北大街88号,ADDRESS
address_col_5,南宁市青秀区民族大道136号,ADDRESS
address_col_5,哈尔滨市南岗区红旗大街55号,ADDRESS
address_col_5,宁波市海曙区中山西路99号,ADDRESS
address_col_5,北京市朝阳区建国路88号,ADDRESS
address_col_5,JP,ADDRESS
address_col_5,2023-12-31,ADDRESS
address_col_5,abcdefg,ADDRESS
address_col_5,110105199001011234,ADDRESS
address_col_6,兰州市城关区天水南路222号,ADDRESS
address_col_6,太原市小店区长风街90号,ADDRESS
address_col_6,厦门市思明区湖滨南路100号,ADDRESS
address_col_6,济南市历下区经十路9999号,ADDRESS
address_col_6,洛阳市涧西区丽春西路56号,ADDRESS
address_col_6,000003,ADDRESS
address_col_6,China,ADDRESS
address_col_6,20230101123045,ADDRESS
address_col_6,粤C12345,ADDRESS
address_col_6,abcdef,ADDRESS
address_col_7,无锡市滨湖区蠡湖大道168号,ADDRESS
address_col_7,长春市朝阳区解放大路200号,ADDRESS
address_col_7,乌鲁木齐市新市区北京南路66号,ADDRESS
address_col_7,呼和浩特市赛罕区大学西路35号,ADDRESS
address_col_7,银川市金凤区人民广场东路,ADDRESS
address_col_7,600001,ADDRESS
address_col_7,110105199508073210,ADDRESS
address_col_7,2023/06/01,ADDRESS
address_col_7,JP,ADDRESS
address_col_7,abcdef123,ADDRESS
address_col_8,佛山市南海区桂城街道海八路12号,ADDRESS
address_col_8,珠海市香洲区吉大景山路9号,ADDRESS
address_col_8,东莞市南城区莞太路78号,ADDRESS
address_col_8,惠州市惠城区江北三新南路,ADDRESS
address_col_8,中山市东区兴中道45号,ADDRESS
address_col_8,000001,ADDRESS
address_col_8,北京市朝阳区建国路88号,ADDRESS
address_col_8,110105199001011234,ADDRESS
address_col_8,China,ADDRESS
address_col_8,2023-08-08,ADDRESS
address_col_9,唐山市路北区新华东道100号,ADDRESS
address_col_9,保定市竞秀区朝阳北大街88号,ADDRESS
address_col_9,邯郸市丛台区中华北大街,ADDRESS
address_col_9,秦皇岛市海港区建设大街200号,ADDRESS
address_col_9,沧州市运河区解放西路99号,ADDRESS
address_col_9,600000,ADDRESS
address_col_9,abcdef,ADDRESS
address_col_9,2023-02-02,ADDRESS
address_col_9,JP,ADDRESS
address_col_9,110105199508073210,ADDRESS
address_col_10,厦门市湖里区嘉禾路468号,ADDRESS
address_col_10,大连市中山区人民路15号,ADDRESS
address_col_10,沈阳市和平区南京北街21号,ADDRESS
address_col_10,青岛市李沧区重庆中路88号,ADDRESS
address_col_10,烟台市芝罘区南大街66号,ADDRESS
address_col_10,000002,ADDRESS
address_col_10,2023-09-09,ADDRESS
address_col_10,粤B88888,ADDRESS
address_col_10,China,ADDRESS
address_col_10,abcdef123,ADDRESS
