column_id,text,label,reason
credit_col_3,91440300MA7D12345S,CREDIT_CODE,not_18_credit_charset
credit_col_3,91310000MA3FL1234S,CREDIT_CODE,not_18_credit_charset
credit_col_4,91440300MA8D12345V,CREDIT_CODE,not_18_credit_charset
credit_col_1,91310000MA1FL00001X,CREDIT_CODE,not_18_credit_charset
credit_col_1,91310000MA1FL00008Q,CREDIT_CODE,not_18_credit_charset
credit_col_2,91310000MA1FL00008Q,CREDIT_CODE,not_18_credit_charset
credit_col_2,91110108MA00000011W,CREDIT_CODE,not_18_credit_charset
credit_col_2,91110108MA00000011W,CREDIT_CODE,not_18_credit_charset
credit_col_3,91310000MA1FL00015E,CREDIT_CODE,not_18_credit_charset
credit_col_3,91110108MA00000018N,CREDIT_CODE,not_18_credit_charset
credit_col_3,91310000MA1FL00015E,CREDIT_CODE,not_18_credit_charset
credit_col_4,91310000MA1FL00022A,CREDIT_CODE,not_18_credit_charset
credit_col_4,91110108MA00000025D,CREDIT_CODE,not_18_credit_charset
credit_col_4,91110108MA00000018N,CREDIT_CODE,not_18_credit_charset
credit_col_5,91310000MA1FL00029H,CREDIT_CODE,not_18_credit_charset
credit_col_5,91110108MA00000032L,CREDIT_CODE,not_18_credit_charset
credit_col_5,91310000MA1FL00022A,CREDIT_CODE,not_18_credit_charset
credit_col_6,91310000MA1FL00036Q,CREDIT_CODE,not_18_credit_charset
credit_col_6,91110108MA00000039U,CREDIT_CODE,not_18_credit_charset
credit_col_6,91320100MA1A00040V,CREDIT_CODE,not_18_credit_charset
credit_col_6,91110108MA00000025D,CREDIT_CODE,not_18_credit_charset
credit_col_7,91310000MA1FL00043Y,CREDIT_CODE,not_18_credit_charset
credit_col_7,91110108MA00000046C,CREDIT_CODE,not_18_credit_charset
credit_col_8,91310000MA1FL00050G,CREDIT_CODE,not_18_credit_charset
credit_col_8,91110108MA00000053K,CREDIT_CODE,not_18_credit_charset
credit_col_8,91310000MA1FL00029H,CREDIT_CODE,not_18_credit_charset
credit_col_9,91310000MA1FL00057P,CREDIT_CODE,not_18_credit_charset
credit_col_9,91110108MA00000060T,CREDIT_CODE,not_18_credit_charset
credit_col_9,91440100MA5G00062V,CREDIT_CODE,not_18_credit_charset
credit_col_9,91110108MA00000032L,CREDIT_CODE,not_18_credit_charset
credit_col_10,91310000MA1FL00064X,CREDIT_CODE,not_18_credit_charset
credit_col_10,91110108MA00000067B,CREDIT_CODE,not_18_credit_charset
credit_col_10,91310000MA1FL00036Q,CREDIT_CODE,not_18_credit_charset
