column_id,text,label,reason
name_col_1,110105199001011234,NAME,not_2_4_han_name
name_col_1,粤B88888,NAME,not_2_4_han_name
name_col_1,2023-09-09,NAME,not_2_4_han_name
name_col_1,China,NAME,not_2_4_han_name
name_col_2,192.168.1.1,NAME,not_2_4_han_name
name_col_2,600000,NAME,not_2_4_han_name
name_col_2,JP,NAME,not_2_4_han_name
name_col_2,20230101,NAME,not_2_4_han_name
name_col_3,北京市朝阳区建国路88号,NAME,not_2_4_han_name
name_col_3,110105198806158765,NAME,not_2_4_han_name
name_col_3,ABC123,NAME,not_2_4_han_name
name_col_3,2023-10-01,NAME,not_2_4_han_name
name_col_4,13888888888,NAME,not_2_4_han_name
name_col_4,1HGCM82633A004352,NAME,not_2_4_han_name
name_col_4,粤A12345,NAME,not_2_4_han_name
name_col_4,abcdef,NAME,not_2_4_han_name
name_col_5,600001,NAME,not_2_4_han_name
name_col_5,深圳市南山区科技园,NAME,not_2_4_han_name
name_col_5,110105199508073210,NAME,not_2_4_han_name
name_col_5,2022-12-31,NAME,not_2_4_han_name
name_col_6,ABCDEF123,NAME,not_2_4_han_name
name_col_6,192.168.0.5,NAME,not_2_4_han_name
name_col_7,110105199001011234,NAME,not_2_4_han_name
name_col_7,600888,NAME,not_2_4_han_name
name_col_7,粤C88888,NAME,not_2_4_han_name
name_col_8,600000,NAME,not_2_4_han_name
name_col_8,上海市浦东新区世纪大道,NAME,not_2_4_han_name
name_col_8,20230909,NAME,not_2_4_han_name
name_col_8,China,NAME,not_2_4_han_name
name_col_9,JP,NAME,not_2_4_han_name
name_col_9,粤B99999,NAME,not_2_4_han_name
name_col_9,600888,NAME,not_2_4_han_name
name_col_9,2023-10-01,NAME,not_2_4_han_name
name_col_10,110105199001011234,NAME,not_2_4_han_name
name_col_10,深圳市福田区深南大道,NAME,not_2_4_han_name
name_col_10,192.168.1.1,NAME,not_2_4_han_name
name_col_10,2022/12/31,NAME,not_2_4_han_name
