column_id,text,label,reason
passport_col_1,123456789,PASSPORT,not_passport_format
passport_col_1,粤B12345,PASSPORT,not_passport_format
passport_col_1,abcdef123,PASSPORT,not_passport_format
passport_col_2,110105199001011234,PASSPORT,not_passport_format
passport_col_2,000001,PASSPORT,not_passport_format
passport_col_2,China,PASSPORT,not_passport_format
passport_col_2,20230101,PASSPORT,not_passport_format
passport_col_2,192.168.1.1,PASSPORT,not_passport_format
passport_col_3,600000,PASSPORT,not_passport_format
passport_col_3,abcdef,PASSPORT,not_passport_format
passport_col_3,2024/01/01,PASSPORT,not_passport_format
passport_col_3,JP,PASSPORT,not_passport_format
passport_col_3,粤A88888,PASSPORT,not_passport_format
passport_col_4,110105123456789012,PASSPORT,not_passport_format
passport_col_4,123456,PASSPORT,not_passport_format
passport_col_4,USA,PASSPORT,not_passport_format
passport_col_4,2023-12-31,PASSPORT,not_passport_format
passport_col_4,abcdef123,PASSPORT,not_passport_format
passport_col_5,000002,PASSPORT,not_passport_format
passport_col_5,China,PASSPORT,not_passport_format
passport_col_5,20221212,PASSPORT,not_passport_format
passport_col_5,粤B12345,PASSPORT,not_passport_format
passport_col_6,110105199508073210,PASSPORT,not_passport_format
passport_col_6,abcdefg,PASSPORT,not_passport_format
passport_col_6,20230101123045,PASSPORT,not_passport_format
passport_col_6,8.8.8.8,PASSPORT,not_passport_format
passport_col_6,JP,PASSPORT,not_passport_format
passport_col_7,600001,PASSPORT,not_passport_format
passport_col_7,not_valid,PASSPORT,not_passport_format
passport_col_7,2023.06.01,PASSPORT,not_passport_format
passport_col_7,China,PASSPORT,not_passport_format
passport_col_7,粤C12345,PASSPORT,not_passport_format
passport_col_8,110105199001011234,PASSPORT,not_passport_format
passport_col_8,abcdef123,PASSPORT,not_passport_format
passport_col_8,2023-05-01,PASSPORT,not_passport_format
passport_col_8,USA,PASSPORT,not_passport_format
passport_col_9,1234567890,PASSPORT,not_passport_format
passport_col_9,China,PASSPORT,not_passport_format
passport_col_9,20240101,PASSPORT,not_passport_format
passport_col_9,粤A12345,PASSPORT,not_passport_format
passport_col_9,abcdef,PASSPORT,not_passport_format
passport_col_10,110105199001011234,PASSPORT,not_passport_format
passport_col_10,600000,PASSPORT,not_passport_format
passport_col_10,2023-08-08,PASSPORT,not_passport_format
passport_col_10,JP,PASSPORT,not_passport_format
passport_col_10,粤B88888,PASSPORT,not_passport_format
